iter	TotalF1	MultiClass
0	0.5428920098	0.9792098331
1	0.5428920098	0.9095949294
2	0.5649081344	0.863678796
3	0.5748662733	0.8301000427
4	0.5734761276	0.8024678522
5	0.5792786279	0.7862371472
6	0.5909840798	0.772710936
7	0.5926298126	0.7609460775
8	0.5909001226	0.7541070791
9	0.6044272404	0.7449885448
10	0.6122295787	0.7369489761
11	0.6138641415	0.7323643879
12	0.6214666577	0.7282360185
13	0.6248358306	0.7250180588
14	0.6344239702	0.722390644
15	0.6359810207	0.7205548997
16	0.6374609007	0.7183611962
17	0.6383368985	0.7157483895
18	0.639298979	0.7119720663
19	0.6406403403	0.7104605269
20	0.6422029399	0.7092483461
21	0.6432267156	0.7084911882
22	0.6471892691	0.7065062025
23	0.6504925948	0.7047963517
24	0.6513106265	0.7022777794
25	0.652997048	0.7003459384
26	0.6540567324	0.6989458965
27	0.6553734734	0.6981343625
28	0.6555213053	0.6976456258
29	0.6571152147	0.6954408505
30	0.657387961	0.6947600124
31	0.6581345864	0.6932704797
32	0.6588354821	0.6926090611
33	0.6606560905	0.6910856329
34	0.661177705	0.6904118774
35	0.6619818674	0.689421291
36	0.6636782289	0.6887764261
37	0.6648006039	0.6880731355
38	0.6657721658	0.6869839818
39	0.6661799896	0.6863445327
40	0.6664806294	0.6858552811
41	0.6669877161	0.6855199742
42	0.6680758929	0.6846832469
43	0.6691757988	0.6829216879
44	0.6705317723	0.6822662805
45	0.6705769545	0.6817996689
46	0.670865339	0.6812195699
47	0.6732231894	0.6799002995
48	0.6743473169	0.67913133
49	0.6755005573	0.6786370047
50	0.6758261459	0.6781968884
51	0.6761300521	0.6778241504
52	0.6762916221	0.6766962148
53	0.6766188314	0.6760403042
54	0.6778929588	0.6753250737
55	0.6781280924	0.6747962416
56	0.6785531262	0.6743504598
57	0.6790576834	0.6737802512
58	0.6799071655	0.6728281863
59	0.6804275811	0.6721169674
60	0.680833391	0.6714734441
61	0.6813232607	0.6708329779
62	0.6818240922	0.6705019853
63	0.6819575248	0.6701469236
64	0.6826824199	0.6694773605
65	0.6828912331	0.6690528846
66	0.6832176302	0.6685518238
67	0.6836751533	0.6679298888
68	0.6838458231	0.6675721493
69	0.6839182228	0.6670341403
70	0.6845578565	0.666598398
71	0.6849383381	0.6662030206
72	0.6849687679	0.6656543802
73	0.6853341475	0.6650464086
74	0.6857441433	0.6644972251
75	0.686045722	0.6640790779
76	0.6864235149	0.6636054553
77	0.6867084505	0.6631145457
78	0.6870725713	0.6625426516
79	0.6872034924	0.6621658059
80	0.6872680261	0.661765232
81	0.6875128066	0.6614488025
82	0.6879708929	0.6608540351
83	0.6898092634	0.6596765322
84	0.6901730917	0.6590282952
85	0.6905645989	0.6584279177
86	0.6910691709	0.6580171871
87	0.6909762881	0.6576036894
88	0.6909297844	0.6572127274
89	0.6912903799	0.6567897483
90	0.6917446975	0.6562748385
91	0.6919478284	0.6560038968
92	0.6922540889	0.655654166
93	0.692647192	0.6552534242
94	0.6930298169	0.6550387888
95	0.6934122725	0.6545701846
96	0.6934548326	0.6540546386
97	0.6938760792	0.6537898188
98	0.6940390093	0.6534966911
99	0.6940684202	0.65285601
100	0.6942863902	0.6526027382
101	0.6944706964	0.6522944378
102	0.6946290298	0.6521027108
103	0.6947154951	0.6519164628
104	0.694915665	0.65166598
105	0.6950291357	0.6514049479
106	0.695180266	0.651006219
107	0.695438877	0.6507404005
108	0.6954366738	0.6505086446
109	0.6957443809	0.6502830425
110	0.6958878087	0.6499808476
111	0.6960178798	0.6497715355
112	0.6959050575	0.6495236124
113	0.695976246	0.6491120385
114	0.6963161994	0.648914277
115	0.69752871	0.6480119889
116	0.6977711796	0.6477436067
117	0.6979486299	0.6474930121
118	0.6981950356	0.6473415282
119	0.6987568835	0.6468600173
120	0.6989000819	0.646637638
121	0.699061393	0.6463675659
122	0.6992838943	0.6460939018
123	0.6993555843	0.6458203204
124	0.6995165191	0.6455963355
125	0.6997002152	0.6453796497
126	0.6997182394	0.6452265629
127	0.6998175972	0.6449207232
128	0.7000531548	0.6445936288
129	0.7005232612	0.6441758758
130	0.7009138552	0.643926113
131	0.7009982235	0.6437093488
132	0.7011138967	0.6434834742
133	0.7013039798	0.6433527635
134	0.7013106606	0.6432051768
135	0.7012526812	0.6430150541
136	0.7013860704	0.6425672935
137	0.7016283816	0.6422371956
138	0.7017660042	0.6420579079
139	0.7020012174	0.6418079148
140	0.7021267941	0.6415438102
141	0.7023104597	0.6410664601
142	0.7024781484	0.6408496472
143	0.7026741657	0.640450479
144	0.7027174136	0.6402420283
145	0.7028373661	0.6401264533
146	0.7031875235	0.6399145348
147	0.7030629299	0.6396716555
148	0.7033362261	0.6393668485
149	0.7034537993	0.6392831332
