iter	Passed	Remaining
0	451	67331
1	749	55499
2	1025	50247
3	1321	48251
4	1624	47117
5	1941	46591
6	2211	45183
7	2492	44242
8	2771	43421
9	3056	42791
10	3378	42685
11	3668	42190
12	3964	41781
13	4301	41786
14	4602	41421
15	4862	40720
16	5126	40105
17	5385	39494
18	5649	38950
19	5972	38818
20	6301	38707
21	6584	38311
22	6882	38004
23	7195	37776
24	7466	37334
25	7800	37203
26	8095	36880
27	8424	36708
28	8807	36749
29	9176	36707
30	9517	36535
31	9866	36382
32	10217	36226
33	10505	35840
34	10774	35401
35	11111	35186
36	11390	34785
37	11654	34351
38	11966	34057
39	12273	33753
40	12568	33414
41	12845	33030
42	13163	32756
43	13469	32448
44	13784	32163
45	14097	31872
46	14426	31615
47	14696	31230
48	14952	30820
49	15235	30471
50	15503	30094
51	15763	29708
52	16027	29332
53	16276	28936
54	16535	28560
55	16801	28202
56	17060	27834
57	17312	27461
58	17550	27068
59	17807	26711
60	18085	26386
61	18373	26078
62	18675	25789
63	18949	25462
64	19203	25112
65	19474	24786
66	19728	24439
67	19982	24096
68	20247	23768
69	20582	23522
70	20930	23288
71	21348	23127
72	21734	22925
73	22121	22719
74	22478	22478
75	22811	22211
76	23129	21928
77	23486	21679
78	23834	21421
79	24149	21130
80	24479	20852
81	24790	20557
82	25115	20273
83	25443	19991
84	25764	19702
85	26062	19395
86	26403	19119
87	26714	18821
88	27022	18520
89	27337	18225
90	27654	17929
91	27952	17622
92	28257	17318
93	28586	17030
94	28922	16744
95	29232	16443
96	29553	16147
97	29852	15839
98	30148	15531
99	30445	15222
100	30728	14907
101	31017	14596
102	31312	14288
103	31620	13985
104	31923	13681
105	32242	13383
106	32580	13093
107	32889	12790
108	33188	12483
109	33497	12181
110	33899	11910
111	34246	11619
112	34606	11331
113	34912	11025
114	35220	10719
115	35544	10418
116	35867	10116
117	36185	9812
118	36498	9507
119	36815	9203
120	37112	8894
121	37443	8593
122	37752	8287
123	38046	7977
124	38364	7672
125	38676	7366
126	39037	7069
127	39345	6762
128	39652	6455
129	39974	6149
130	40278	5841
131	40575	5533
132	40877	5224
133	41156	4914
134	41445	4605
135	41738	4296
136	42055	3990
137	42358	3683
138	42665	3376
139	42982	3070
140	43300	2763
141	43629	2457
142	43967	2152
143	44277	1844
144	44568	1536
145	44866	1229
146	45187	922
147	45480	614
148	45786	307
149	46096	0
